item_id,warehouse_id,stock_on_hand,snapshot_time,is_snapshot_stale
ITEM_0000,WH_00,321,2024-10-01,False
ITEM_0000,WH_01,315,2024-10-01,False
ITEM_0000,WH_02,376,2024-10-01,False
ITEM_0000,WH_03,479,2024-10-01,False
ITEM_0000,WH_04,474,2024-10-01,False
ITEM_0001,WH_00,369,2024-10-01,False
ITEM_0001,WH_01,446,2024-10-01,False
ITEM_0001,WH_02,478,2024-10-01,False
ITEM_0001,WH_03,456,2024-10-01,False
ITEM_0001,WH_04,399,2024-10-01,False
ITEM_0002,WH_00,285,2024-10-01,False
ITEM_0002,WH_01,369,2024-10-01,False
ITEM_0002,WH_02,441,2024-10-01,False
ITEM_0002,WH_03,304,2024-10-01,False
ITEM_0002,WH_04,300,2024-10-01,False
ITEM_0003,WH_00,331,2024-10-01,False
ITEM_0003,WH_01,370,2024-10-01,False
ITEM_0003,WH_02,354,2024-10-01,False
ITEM_0003,WH_03,410,2024-10-01,False
ITEM_0003,WH_04,381,2024-10-01,False
ITEM_0004,WH_00,342,2024-10-01,False
ITEM_0004,WH_01,415,2024-10-01,False
ITEM_0004,WH_02,289,2024-10-01,False
ITEM_0004,WH_03,298,2024-10-01,False
ITEM_0004,WH_04,308,2024-10-01,False
ITEM_0005,WH_00,385,2024-10-01,False
ITEM_0005,WH_01,492,2024-10-01,False
ITEM_0005,WH_02,410,2024-10-01,False
ITEM_0005,WH_03,316,2024-10-01,False
ITEM_0005,WH_04,334,2024-10-01,False
ITEM_0006,WH_00,350,2024-10-01,False
ITEM_0006,WH_01,430,2024-10-01,False
ITEM_0006,WH_02,443,2024-10-01,False
ITEM_0006,WH_03,312,2024-10-01,False
ITEM_0006,WH_04,371,2024-10-01,False
ITEM_0007,WH_00,353,2024-10-01,False
ITEM_0007,WH_01,345,2024-10-01,False
ITEM_0007,WH_02,319,2024-10-01,False
ITEM_0007,WH_03,413,2024-10-01,False
ITEM_0007,WH_04,486,2024-10-01,False
ITEM_0008,WH_00,298,2024-10-01,False
ITEM_0008,WH_01,344,2024-10-01,False
ITEM_0008,WH_02,294,2024-10-01,False
ITEM_0008,WH_03,426,2024-10-01,False
ITEM_0008,WH_04,396,2024-10-01,False
ITEM_0009,WH_00,403,2024-10-01,False
ITEM_0009,WH_01,443,2024-10-01,False
ITEM_0009,WH_02,333,2024-10-01,False
ITEM_0009,WH_03,311,2024-10-01,False
ITEM_0009,WH_04,384,2024-10-01,False
ITEM_0010,WH_00,397,2024-10-01,False
ITEM_0010,WH_01,292,2024-10-01,False
ITEM_0010,WH_02,470,2024-10-01,False
ITEM_0010,WH_03,353,2024-10-01,False
ITEM_0010,WH_04,379,2024-10-01,False
ITEM_0011,WH_00,419,2024-10-01,False
ITEM_0011,WH_01,304,2024-10-01,False
ITEM_0011,WH_02,285,2024-10-01,False
ITEM_0011,WH_03,338,2024-10-01,False
ITEM_0011,WH_04,397,2024-10-01,False
ITEM_0012,WH_00,305,2024-10-01,False
ITEM_0012,WH_01,404,2024-10-01,False
ITEM_0012,WH_02,283,2024-10-01,False
ITEM_0012,WH_03,337,2024-10-01,False
ITEM_0012,WH_04,387,2024-10-01,False
ITEM_0013,WH_00,409,2024-10-01,False
ITEM_0013,WH_01,353,2024-10-01,False
ITEM_0013,WH_02,436,2024-10-01,False
ITEM_0013,WH_03,459,2024-10-01,False
ITEM_0013,WH_04,297,2024-10-01,False
ITEM_0014,WH_00,351,2024-10-01,False
ITEM_0014,WH_01,444,2024-10-01,False
ITEM_0014,WH_02,307,2024-10-01,False
ITEM_0014,WH_03,404,2024-10-01,False
ITEM_0014,WH_04,305,2024-10-01,False
ITEM_0015,WH_00,483,2024-10-01,False
ITEM_0015,WH_01,306,2024-10-01,False
ITEM_0015,WH_02,443,2024-10-01,False
ITEM_0015,WH_03,330,2024-10-01,False
ITEM_0015,WH_04,349,2024-10-01,False
ITEM_0016,WH_00,292,2024-10-01,False
ITEM_0016,WH_01,337,2024-10-01,False
ITEM_0016,WH_02,362,2024-10-01,False
ITEM_0016,WH_03,354,2024-10-01,False
ITEM_0016,WH_04,367,2024-10-01,False
ITEM_0017,WH_00,399,2024-10-01,False
ITEM_0017,WH_01,453,2024-10-01,False
ITEM_0017,WH_02,317,2024-10-01,False
ITEM_0017,WH_03,374,2024-10-01,False
ITEM_0017,WH_04,385,2024-10-01,False
ITEM_0018,WH_00,321,2024-10-01,False
ITEM_0018,WH_01,395,2024-10-01,False
ITEM_0018,WH_02,451,2024-10-01,False
ITEM_0018,WH_03,371,2024-10-01,False
ITEM_0018,WH_04,327,2024-10-01,False
ITEM_0019,WH_00,371,2024-10-01,False
ITEM_0019,WH_01,385,2024-10-01,False
ITEM_0019,WH_02,414,2024-10-01,False
ITEM_0019,WH_03,447,2024-10-01,False
ITEM_0019,WH_04,331,2024-10-01,False
ITEM_0020,WH_00,408,2024-10-01,False
ITEM_0020,WH_01,423,2024-10-01,False
ITEM_0020,WH_02,366,2024-10-01,False
ITEM_0020,WH_03,410,2024-10-01,False
ITEM_0020,WH_04,427,2024-10-01,False
ITEM_0021,WH_00,443,2024-10-01,False
ITEM_0021,WH_01,356,2024-10-01,False
ITEM_0021,WH_02,367,2024-10-01,False
ITEM_0021,WH_03,450,2024-10-01,False
ITEM_0021,WH_04,411,2024-10-01,False
ITEM_0022,WH_00,352,2024-10-01,False
ITEM_0022,WH_01,405,2024-10-01,False
ITEM_0022,WH_02,417,2024-10-01,False
ITEM_0022,WH_03,345,2024-10-01,False
ITEM_0022,WH_04,345,2024-10-01,False
ITEM_0023,WH_00,362,2024-10-01,False
ITEM_0023,WH_01,398,2024-10-01,False
ITEM_0023,WH_02,345,2024-10-01,False
ITEM_0023,WH_03,467,2024-10-01,False
ITEM_0023,WH_04,356,2024-10-01,False
ITEM_0024,WH_00,381,2024-10-01,False
ITEM_0024,WH_01,377,2024-10-01,False
ITEM_0024,WH_02,343,2024-10-01,False
ITEM_0024,WH_03,342,2024-10-01,False
ITEM_0024,WH_04,385,2024-10-01,False
ITEM_0025,WH_00,455,2024-10-01,False
ITEM_0025,WH_01,380,2024-10-01,False
ITEM_0025,WH_02,464,2024-10-01,False
ITEM_0025,WH_03,416,2024-10-01,False
ITEM_0025,WH_04,486,2024-10-01,False
